"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003272944","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","19500","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数","付加価値額生産（平成22年＝100.0）"
"0003272945","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","19500","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数","出荷（平成22年＝100.0）"
"0003272946","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数 在庫（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","16667","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数","在庫（平成22年＝100.0）"
"0003272947","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数 在庫率（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","16280","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／季節調整済指数","在庫率（平成22年＝100.0）"
"0003272948","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／原指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","19500","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／原指数","付加価値額生産（平成22年＝100.0）"
"0003272949","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／原指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","19500","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／原指数","出荷（平成22年＝100.0）"
"0003272950","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／原指数 在庫（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","16667","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／原指数","在庫（平成22年＝100.0）"
"0003272951","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／月次／原指数 在庫率（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","16280","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／月次／原指数","在庫率（平成22年＝100.0）"
"0003272952","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","13520","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数","付加価値額生産（平成22年＝100.0）"
"0003272953","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","13520","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数","出荷（平成22年＝100.0）"
"0003272954","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数 在庫（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","12876","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数","在庫（平成22年＝100.0）"
"0003272955","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数 在庫率（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","12747","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／季節調整済指数","在庫率（平成22年＝100.0）"
"0003272956","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／原指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","13520","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／原指数","付加価値額生産（平成22年＝100.0）"
"0003272957","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／原指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","13520","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／原指数","出荷（平成22年＝100.0）"
"0003272958","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／原指数 在庫（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","12876","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／原指数","在庫（平成22年＝100.0）"
"0003272959","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","財別／月次／原指数 在庫率（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","12747","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","財別／月次／原指数","在庫率（平成22年＝100.0）"
"0003272960","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","58630","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数","付加価値額生産（平成22年＝100.0）"
"0003272961","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","58630","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数","出荷（平成22年＝100.0）"
"0003272962","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数 在庫（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","43543","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数","在庫（平成22年＝100.0）"
"0003272963","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数 在庫率（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","41995","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／季節調整済指数","在庫率（平成22年＝100.0）"
"0003272964","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／原指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","58630","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／原指数","付加価値額生産（平成22年＝100.0）"
"0003272965","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／原指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","58630","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／原指数","出荷（平成22年＝100.0）"
"0003272966","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／原指数 在庫（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","43543","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／原指数","在庫（平成22年＝100.0）"
"0003272967","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","品目別／月次／原指数 在庫率（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","41995","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","品目別／月次／原指数","在庫率（平成22年＝100.0）"
"0003272968","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／四半期／季節調整済指数 付加価値額生産（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","6600","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／四半期／季節調整済指数","付加価値額生産（平成22年＝100.0）"
"0003272969","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／四半期／季節調整済指数 出荷（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","6600","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／四半期／季節調整済指数","出荷（平成22年＝100.0）"
"0003272970","鉱工業生産・出荷・在庫指数 2010年基準時系列データ（2008年１月～）","業種別／四半期／季節調整済指数 在庫（期末）（平成22年＝100.0）","-","201712","2018-10-31","0","該当なし","5659","2021-09-08","","00550300","鉱工業生産・出荷・在庫指数","00550","経済産業省","05","鉱工業","02","製造業","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","業種別／四半期／季節調整済指数","在庫（期末）（平成22年＝100.0）"
