"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0004026840","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","588","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","調理師 就業調理師数，就業場所・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","調理師","就業調理師数，就業場所・都道府県別","注：１．「関西広域連合」は滋賀県、京都府、大阪府、兵庫県、和歌山県、徳島県分の数字である。<BR>　　２．データは各年末現在の数値である。",""
"0004026840","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","588","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","調理師 就業調理師数，就業場所・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","調理師","就業調理師数，就業場所・都道府県別","注：１．「関西広域連合」は滋賀県、京都府、大阪府、兵庫県、和歌山県、徳島県分の数字である。<BR>　　２．データは各年末現在の数値である。",""
"0004026841","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","384","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師・准看護師数及び率（人口１０万対），都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師・准看護師数及び率（人口１０万対），都道府県別","注：データは各年末現在の数値である。",""
"0004026841","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","384","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師・准看護師数及び率（人口１０万対），都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師・准看護師数及び率（人口１０万対），都道府県別","注：データは各年末現在の数値である。",""
"0004026940","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","672","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","あん摩マッサージ指圧・はり・きゅう・柔道整復 就業あん摩マッサージ指圧師・はり師・きゅう師，目が見える者―目が見えない者別；柔道整復師数及び率（人口１０万対），都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","あん摩マッサージ指圧・はり・きゅう・柔道整復","就業あん摩マッサージ指圧師・はり師・きゅう師，目が見える者―目が見えない者別；柔道整復師数及び率（人口１０万対），都道府県別","注：データは各年末現在の数値である。",""
"0004026940","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","672","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","あん摩マッサージ指圧・はり・きゅう・柔道整復 就業あん摩マッサージ指圧師・はり師・きゅう師，目が見える者―目が見えない者別；柔道整復師数及び率（人口１０万対），都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","あん摩マッサージ指圧・はり・きゅう・柔道整復","就業あん摩マッサージ指圧師・はり師・きゅう師，目が見える者―目が見えない者別；柔道整復師数及び率（人口１０万対），都道府県別","注：データは各年末現在の数値である。",""
"0004026962","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","462","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","1","歯科衛生士・歯科技工士・歯科技工所 就業歯科衛生士数，就業場所・性・年齢階級別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科衛生士数，就業場所・性・年齢階級別","注：データは各年末現在の数値である。",""
"0004026945","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","405","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","10","保健師・助産師・看護師・准看護師 就業看護師数，性・雇用形態・就業場所別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業看護師数，性・雇用形態・就業場所別","注：データは各年末現在の数値である。",""
"0004026947","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","2112","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","11","保健師・助産師・看護師・准看護師 就業准看護師数，実人員－常勤換算・就業場所・性・年齢階級別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業准看護師数，実人員－常勤換算・就業場所・性・年齢階級別","注：データは各年末現在の数値である。",""
"0004026949","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","6336","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","12","保健師・助産師・看護師・准看護師 就業准看護師数，実人員－常勤換算・就業場所・都道府県・性別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業准看護師数，実人員－常勤換算・就業場所・都道府県・性別","注：データは各年末現在の数値である。",""
"0004026949","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","6336","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","12","保健師・助産師・看護師・准看護師 就業准看護師数，実人員－常勤換算・就業場所・都道府県・性別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業准看護師数，実人員－常勤換算・就業場所・都道府県・性別","注：データは各年末現在の数値である。",""
"0004026950","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","405","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","13","保健師・助産師・看護師・准看護師 就業准看護師数，性・雇用形態・就業場所別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業准看護師数，性・雇用形態・就業場所別","注：データは各年末現在の数値である。",""
"0004026953","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","5280","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","14","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師・准看護師数，従事期間・従事開始の理由・性・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師・准看護師数，従事期間・従事開始の理由・性・都道府県別","注：１．「従事期間」又は「従事開始の理由」が不明のものは計上されないため、他の統計表の「保健師」、「助産師」、「看護師」及び「准看護師」と一致しない場合がある。<BR>　　２．データは各年末現在の数値である。",""
"0004026953","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","5280","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","14","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師・准看護師数，従事期間・従事開始の理由・性・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師・准看護師数，従事期間・従事開始の理由・性・都道府県別","注：１．「従事期間」又は「従事開始の理由」が不明のものは計上されないため、他の統計表の「保健師」、「助産師」、「看護師」及び「准看護師」と一致しない場合がある。<BR>　　２．データは各年末現在の数値である。",""
"0004026954","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","360","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","15","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師数（特定行為研修を修了した者），就業場所・年齢階級別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師数（特定行為研修を修了した者），就業場所・年齢階級別","注：データは各年末現在の数値である。",""
"0004026956","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","1152","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","16","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師数（特定行為研修を修了した者），就業場所・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師数（特定行為研修を修了した者），就業場所・都道府県別","注：データは各年末現在の数値である。",""
"0004026956","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","1152","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","16","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師数（特定行為研修を修了した者），就業場所・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師数（特定行為研修を修了した者），就業場所・都道府県別","注：データは各年末現在の数値である。",""
"0004026957","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","780","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","17","保健師・助産師・看護師・准看護師 就業保健師・助産師・看護師数（特定行為研修を修了した者），特定行為区分・領域別パッケージ研修・就業場所別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師・助産師・看護師数（特定行為研修を修了した者），特定行為区分・領域別パッケージ研修・就業場所別","注：データは各年末現在の数値である。",""
"0004026852","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","1980","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","2","保健師・助産師・看護師・准看護師 就業保健師数，実人員－常勤換算・就業場所・性・年齢階級別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師数，実人員－常勤換算・就業場所・性・年齢階級別","注：データは各年末現在の数値である。",""
"0004026951","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","240","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","2","あん摩マッサージ指圧・はり・きゅう・柔道整復 あん摩マッサージ及び指圧・はり・きゅう並びに柔道整復の施術所数，業務の種類・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","あん摩マッサージ指圧・はり・きゅう・柔道整復","あん摩マッサージ及び指圧・はり・きゅう並びに柔道整復の施術所数，業務の種類・都道府県別","注：データは各年末現在の数値である。",""
"0004026951","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","240","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","2","あん摩マッサージ指圧・はり・きゅう・柔道整復 あん摩マッサージ及び指圧・はり・きゅう並びに柔道整復の施術所数，業務の種類・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","あん摩マッサージ指圧・はり・きゅう・柔道整復","あん摩マッサージ及び指圧・はり・きゅう並びに柔道整復の施術所数，業務の種類・都道府県別","注：データは各年末現在の数値である。",""
"0004026973","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","2016","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","2","歯科衛生士・歯科技工士・歯科技工所 就業歯科衛生士数，就業場所・性・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科衛生士数，就業場所・性・都道府県別","注：データは各年末現在の数値である。",""
"0004026973","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","2016","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","2","歯科衛生士・歯科技工士・歯科技工所 就業歯科衛生士数，就業場所・性・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科衛生士数，就業場所・性・都道府県別","注：データは各年末現在の数値である。",""
"0004026874","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","6336","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","3","保健師・助産師・看護師・准看護師 就業保健師数，実人員－常勤換算・就業場所・都道府県・性別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師数，実人員－常勤換算・就業場所・都道府県・性別","注：データは各年末現在の数値である。",""
"0004026874","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","6336","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","3","保健師・助産師・看護師・准看護師 就業保健師数，実人員－常勤換算・就業場所・都道府県・性別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師数，実人員－常勤換算・就業場所・都道府県・性別","注：データは各年末現在の数値である。",""
"0004026984","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","198","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","3","歯科衛生士・歯科技工士・歯科技工所 就業歯科技工士数，就業場所・性・年齢階級別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科技工士数，就業場所・性・年齢階級別","注：データは各年末現在の数値である。",""
"0004026885","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","405","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","4","保健師・助産師・看護師・准看護師 就業保健師数，性・雇用形態・就業場所別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業保健師数，性・雇用形態・就業場所別","注：データは各年末現在の数値である。",""
"0004026995","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","864","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","4","歯科衛生士・歯科技工士・歯科技工所 就業歯科技工士数，就業場所・性・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科技工士数，就業場所・性・都道府県別","注：データは各年末現在の数値である。",""
"0004026995","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","864","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","4","歯科衛生士・歯科技工士・歯科技工所 就業歯科技工士数，就業場所・性・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科技工士数，就業場所・性・都道府県別","注：データは各年末現在の数値である。",""
"0004026907","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","600","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","5","保健師・助産師・看護師・准看護師 就業助産師数，実人員－常勤換算・就業場所・年齢階級別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業助産師数，実人員－常勤換算・就業場所・年齢階級別","注：データは各年末現在の数値である。",""
"0004027006","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","192","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","5","歯科衛生士・歯科技工士・歯科技工所 就業歯科衛生士・歯科技工士数及び率（人口１０万対），都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科衛生士・歯科技工士数及び率（人口１０万対），都道府県別","注：データは各年末現在の数値である。",""
"0004027006","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","都道府県","192","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","5","歯科衛生士・歯科技工士・歯科技工所 就業歯科衛生士・歯科技工士数及び率（人口１０万対），都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","歯科衛生士・歯科技工士・歯科技工所","就業歯科衛生士・歯科技工士数及び率（人口１０万対），都道府県別","注：データは各年末現在の数値である。",""
"0004026929","衛生行政報告例 衛生行政報告例 隔年報","年次","202001-202012","2025-03-27","0","全国","1920","2025-03-27","","00450027","衛生行政報告例","00450","厚生労働省","6","保健師・助産師・看護師・准看護師 就業助産師数，実人員－常勤換算・就業場所・都道府県別","15","社会保障・衛生","04","保健衛生","衛生行政報告例","衛生行政報告例","隔年報","保健師・助産師・看護師・准看護師","就業助産師数，実人員－常勤換算・就業場所・都道府県別","注：データは各年末現在の数値である。",""
