"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003458439","建設総合統計 月別","月別　《全国》出来高","月次","0","2024-11-18","0","該当なし","5796","2024-11-18","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","月別","月別　《全国》出来高","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458440","建設総合統計 月別","月別　《全国》手持ち工事高","月次","0","2024-11-18","0","該当なし","3864","2024-11-18","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","月別","月別　《全国》手持ち工事高","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458459","建設総合統計 月別","月別　《地域別》出来高","月次","0","2024-11-18","0","該当なし","10304","2024-11-18","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","月別","月別　《地域別》出来高","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458461","建設総合統計 月別","月別　《地域別》手持ち工事高","月次","0","2024-11-18","0","該当なし","2898","2024-11-18","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","月別","月別　《地域別》手持ち工事高","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458462","建設総合統計 月別","月別　《公共表》地域別・発注者別　出来高","月次","0","2024-11-18","0","該当なし","385","2024-11-18","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","月別","月別　《公共表》地域別・発注者別　出来高","注１：公共機関が発注した工事を対象とするもので、「建設工事受注動態統計調査」を基にしている。<br>注２：公表資料の概要、時系列（月次）、地域別（月次）に記載してある公共の数値とは集計の過程により一致しないので注意すること。"
"0003458483","建設総合統計 年度報","年度報　《表-1,20》総合表　地域別・種類別－年度計工事費","月次","0","2024-06-25","0","該当なし","4488","2024-07-22","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","年度報","年度報　《表-1,20》総合表　地域別・種類別－年度計工事費","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458498","建設総合統計 年度報","年度報　《表-2》総合表　都道府県別・種類別－月別工事費","月次","0","2024-06-25","0","該当なし","9588","2024-07-22","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","年度報","年度報　《表-2》総合表　都道府県別・種類別－月別工事費","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458499","建設総合統計 年度報","年度報　《表-3,21-1》公共表　地域別・工事種類別－月別工事費","月次","0","2024-06-25","0","該当なし","5016","2024-07-22","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","年度報","年度報　《表-3,21-1》公共表　地域別・工事種類別－月別工事費","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458500","建設総合統計 年度報","年度報　《表-5》公共表　発注者別・工事種類別－月別工事費","月次","0","2024-06-25","0","該当なし","1368","2024-07-22","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","年度報","年度報　《表-5》公共表　発注者別・工事種類別－月別工事費","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458501","建設総合統計 年度報","年度報　《表-6》公共表　地域別・発注者別－月別工事費","月次","0","2024-06-25","0","該当なし","924","2024-07-22","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","年度報","年度報　《表-6》公共表　地域別・発注者別－月別工事費","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
"0003458502","建設総合統計 年度報","年度報　《表-8》建築表　建築主別・用途別・構造別－月別工事費","月次","0","2024-06-25","0","該当なし","2376","2024-07-22","","00600260","建設総合統計","00600","国土交通省","08","住宅・土地・建設","02","建設","建設総合統計","年度報","年度報　《表-8》建築表　建築主別・用途別・構造別－月別工事費","注：毎年6月（4月分公表時）に、確定した建設投資額の実績値から算出される直近の補正率を用いて、前年度から3カ年分を改定しています。そのため、本統計の利用に当たりましては、今回公表の値が変わり得ますので最新版の利用をお願いします。<br>（https://www.mlit.go.jp/sogoseisaku/jouhouka/sosei_jouhouka_tk4_000013.html　「使用上の注意及び過去資料」を参照）"
