"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0004027500","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","年次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年次・実数","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年次・実数","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027501","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","年度次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年度次・実数","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年度次・実数","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027502","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","四半期","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　四半期・実数","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　四半期・実数","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027503","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","月次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　月次・実数","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　月次・実数","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027504","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","年次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年次・伸び率","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年次・伸び率","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。なお、伸び率はこれを調整したものです。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。なお、伸び率はこれを調整したものです。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。なお、伸び率はこれを調整したものです。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027505","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","年度次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年度次・伸び率","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　年度次・伸び率","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。なお、伸び率はこれを調整したものです。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。なお、伸び率はこれを調整したものです。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。なお、伸び率はこれを調整したものです。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027506","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","四半期","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　四半期・伸び率","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　四半期・伸び率","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。なお、伸び率はこれを調整したものです。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。なお、伸び率はこれを調整したものです。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。なお、伸び率はこれを調整したものです。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027507","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","月次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　月次・伸び率","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","リース契約、リース物件別購入額、事業所数及び常用従業者数(自動車賃貸業を除く)　月次・伸び率","注１：購入額とは、リース契約に基づく貸与物件の調達額をいいます。<br>注２：１９９４年１月分、２００２年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じてます。なお、伸び率はこれを調整したものです。<br>注３：２００７年１月分、２０１１年１月分、２０１２年１月分、２０１２年４月分、２０１３年１月分、２０１３年４月分、２０１６年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。なお、伸び率はこれを調整したものです。<br>注４：２００８年７月分より新規業種の拡充を行ったため、以前の数値と一部不連続が生じています。なお、伸び率はこれを調整したものです。 (２００８年６月分以前の数値のうち、「輸送用機器」には、「自動車賃貸」が含まれています。)"
"0004027508","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","年次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 レンタルの物件別売上高、事業所数及び常用従業者数(自動車賃貸業を除く)　年次・実数","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","レンタルの物件別売上高、事業所数及び常用従業者数(自動車賃貸業を除く)　年次・実数","注１：１９９４年１月分、２００６年１月分、２０１１年１月分、２０１２年１月分、２０１３年１月分、２０１４年１月分、２０１５年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じています。<br>注２：２００８年７月分より新規調査項目として「音楽・映像記録物」の調査を開始したため、「売上高」、「事業所数」及び「常用従業者数」に、以前の数値と不連続が生じています。「売上高合計」の２００８年計及び２００８年度計には当該数値は含まれておりません。<br>注３：２００９年１月分、２００９年４月分、２０１０年１月分、２０１７年１月分、２０１８年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。"
"0004027509","特定サービス産業動態統計調査 統計表一覧 長期データ　（※確報公表時に更新） 長期データ　（平成27年調査から）","年度次","0","2025-03-19","0","該当なし","0","2025-03-31","","00550050","特定サービス産業動態統計調査","00550","経済産業省","1","長期時系列表 レンタルの物件別売上高、事業所数及び常用従業者数(自動車賃貸業を除く)　年度次・実数","06","商業・サービス業","03","サービス業","特定サービス産業動態統計調査","統計表一覧","長期データ　（※確報公表時に更新）","長期データ　（平成27年調査から）","長期時系列表","レンタルの物件別売上高、事業所数及び常用従業者数(自動車賃貸業を除く)　年度次・実数","注１：１９９４年１月分、２００６年１月分、２０１１年１月分、２０１２年１月分、２０１３年１月分、２０１４年１月分、２０１５年１月分より一部調査対象の追加等を行ったため、以前の数値と不連続が生じています。<br>注２：２００８年７月分より新規調査項目として「音楽・映像記録物」の調査を開始したため、「売上高」、「事業所数」及び「常用従業者数」に、以前の数値と不連続が生じています。「売上高合計」の２００８年計及び２００８年度計には当該数値は含まれておりません。<br>注３：２００９年１月分、２００９年４月分、２０１０年１月分、２０１７年１月分、２０１８年１月分より一部数値に変更が生じたため、以前の数値と不連続が生じています。"
