"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","DESCRIPTION.TABULATION_CATEGORY_EXPLANATION","TITLE_SPEC.TABLE_NAME","DESCRIPTION.TABULATION_SUB_CATEGORY_EXPLANATION1"
"0000010101","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","540576","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010101","Ａ　人口・世帯","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ａ　人口・世帯",""
"0000010101","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","540576","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010101","Ａ　人口・世帯","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ａ　人口・世帯",""
"0000010102","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","66576","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010102","Ｂ　自然環境","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｂ　自然環境",""
"0000010102","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","66576","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010102","Ｂ　自然環境","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｂ　自然環境",""
"0000010103","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","356496","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010103","Ｃ　経済基盤","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｃ　経済基盤",""
"0000010103","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","356496","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010103","Ｃ　経済基盤","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｃ　経済基盤",""
"0000010104","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","346704","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010104","Ｄ　行政基盤","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｄ　行政基盤",""
"0000010104","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","346704","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010104","Ｄ　行政基盤","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｄ　行政基盤",""
"0000010105","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","569568","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010105","Ｅ　教育","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｅ　教育",""
"0000010105","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","569568","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010105","Ｅ　教育","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｅ　教育",""
"0000010106","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","268080","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010106","Ｆ　労働","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｆ　労働",""
"0000010106","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","268080","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010106","Ｆ　労働","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｆ　労働",""
"0000010107","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","103344","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010107","Ｇ　文化・スポーツ","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｇ　文化・スポーツ",""
"0000010107","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","103344","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010107","Ｇ　文化・スポーツ","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｇ　文化・スポーツ",""
"0000010108","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","297984","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010108","Ｈ　居住","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｈ　居住",""
"0000010108","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","297984","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010108","Ｈ　居住","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｈ　居住",""
"0000010109","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","426576","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010109","Ｉ　健康・医療","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｉ　健康・医療",""
"0000010109","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","426576","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010109","Ｉ　健康・医療","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｉ　健康・医療",""
"0000010110","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","445008","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010110","Ｊ　福祉・社会保障","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｊ　福祉・社会保障",""
"0000010110","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","445008","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010110","Ｊ　福祉・社会保障","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｊ　福祉・社会保障",""
"0000010111","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","264000","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010111","Ｋ　安全","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｋ　安全",""
"0000010111","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","264000","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010111","Ｋ　安全","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｋ　安全",""
"0000010112","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","159696","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010112","Ｌ　家計","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｌ　家計",""
"0000010112","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","159696","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010112","Ｌ　家計","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｌ　家計",""
"0000010113","都道府県データ 基礎データ","年度次","0","2025-02-21","0","全国","80832","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010113","Ｍ　生活時間","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｍ　生活時間",""
"0000010113","都道府県データ 基礎データ","年度次","0","2025-02-21","0","都道府県","80832","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010113","Ｍ　生活時間","99","その他","99","その他","都道府県データ","基礎データ","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｍ　生活時間",""
"0000020101","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","2333189","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020101","Ａ　人口・世帯","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ａ　人口・世帯",""
"0000020102","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","527131","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020102","Ｂ　自然環境","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｂ　自然環境",""
"0000020103","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","2285526","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020103","Ｃ　経済基盤","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｃ　経済基盤",""
"0000020104","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","4100965","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020104","Ｄ　行政基盤","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｄ　行政基盤",""
"0000020105","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","1280671","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020105","Ｅ　教育","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｅ　教育",""
"0000020106","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","926826","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020106","Ｆ　労働","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｆ　労働",""
"0000020107","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","57848","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020107","Ｇ　文化・スポーツ","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｇ　文化・スポーツ",""
"0000020108","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","3540421","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020108","Ｈ　居住","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｈ　居住",""
"0000020109","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","985333","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020109","Ｉ　健康・医療","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｉ　健康・医療",""
"0000020110","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","1857304","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020110","Ｊ　福祉・社会保障","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｊ　福祉・社会保障",""
"0000020111","市区町村データ 基礎データ（オリジナル）","年度次","0","2024-06-21","0","市区町村","187005","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000020111","Ｋ　安全","99","その他","99","その他","市区町村データ","基礎データ（オリジナル）","社会・人口統計体系の市区町村ごとに集計したデータを提供します。","Ｋ　安全",""
"0000010201","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","全国","85872","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010201","Ａ　人口・世帯","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ａ　人口・世帯",""
"0000010201","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","都道府県","85872","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010201","Ａ　人口・世帯","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ａ　人口・世帯",""
"0000010202","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","全国","39792","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010202","Ｂ　自然環境","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｂ　自然環境",""
"0000010202","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","都道府県","39792","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010202","Ｂ　自然環境","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｂ　自然環境",""
"0000010203","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","全国","32544","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010203","Ｃ　経済基盤","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｃ　経済基盤",""
"0000010203","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","都道府県","32544","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010203","Ｃ　経済基盤","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｃ　経済基盤",""
"0000010204","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","全国","104064","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010204","Ｄ　行政基盤","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｄ　行政基盤",""
"0000010204","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","都道府県","104064","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010204","Ｄ　行政基盤","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｄ　行政基盤",""
"0000010205","都道府県データ 社会生活統計指標","年度次","0","2025-02-21","0","全国","107136","2025-06-13","00200502","社会・人口統計体系","00200","総務省","0000010205","Ｅ　教育","99","その他","99","その他","都道府県データ","社会生活統計指標","社会・人口統計体系の都道府県ごとに集計したデータを提供します。","Ｅ　教育",""
