"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003181402","自動車燃料消費量調査","総括表（１・２）　燃料消費量・走行キロの推移 年度次","年度次","201604-201703","2025-06-18","0","該当なし","990","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","総括表（１・２）　燃料消費量・走行キロの推移","年度次"
"0003181421","自動車燃料消費量調査","第１表　燃料別・車種別　総括表","年度次","201604-201703","2025-06-18","0","該当なし","2376","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第１表　燃料別・車種別　総括表",""
"0003181422","自動車燃料消費量調査","第２・３表　燃料別・地方運輸局別・１１車種別　燃料消費量・走行キロ","年度次","201604-201703","2025-06-18","0","該当なし","5400","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第２・３表　燃料別・地方運輸局別・１１車種別　燃料消費量・走行キロ",""
"0003181440","自動車燃料消費量調査","第４・５表　燃料別・地方運輸局別・２６車種別　燃料消費量・走行キロ","年度次","201604-201703","2025-06-18","0","該当なし","9900","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第４・５表　燃料別・地方運輸局別・２６車種別　燃料消費量・走行キロ",""
"0003181441","自動車燃料消費量調査","第６・７表　燃料別・都道府県別・１０車種別　燃料消費量・走行キロ","年度次","201604-201703","2025-06-18","0","該当なし","14976","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第６・７表　燃料別・都道府県別・１０車種別　燃料消費量・走行キロ",""
"0003181442","自動車燃料消費量調査","第８・９表　燃料別・都道府県別・２５車種別　燃料消費量・走行キロ","年度次","201604-201703","2025-06-18","0","該当なし","36864","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第８・９表　燃料別・都道府県別・２５車種別　燃料消費量・走行キロ",""
"0003181460","自動車燃料消費量調査","第１表　燃料別・車種別　総括表","月次","0","2025-08-27","0","該当なし","19404","2025-08-27","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第１表　燃料別・車種別　総括表",""
"0003181461","自動車燃料消費量調査","第２・３表　燃料別・地方運輸局別・１１車種別　燃料消費量・走行キロ","月次","0","2025-08-27","0","該当なし","52920","2025-08-27","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第２・３表　燃料別・地方運輸局別・１１車種別　燃料消費量・走行キロ",""
"0003181462","自動車燃料消費量調査","第４・５表　燃料別・地方運輸局別・２６車種別　燃料消費量・走行キロ","月次","0","2025-08-27","0","該当なし","97020","2025-08-27","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第４・５表　燃料別・地方運輸局別・２６車種別　燃料消費量・走行キロ",""
"0003244900","自動車燃料消費量調査","第１０表　業態別・目的別　原単位及び稼働率","年度次","201604-201703","2025-06-18","0","該当なし","351","2025-06-24","","00600370","自動車燃料消費量調査","00600","国土交通省","09","エネルギー・水","03","エネルギー需給","自動車燃料消費量調査","第１０表　業態別・目的別　原単位及び稼働率",""
